Unnamed: 0,Linkedin_name,longitude,latitude,name,foundingYear,firm_type,sector,staffCount,staffCountRange,country,headquarter,orgtype,Biomass_degree_centrality,Biofuels_degree_centrality,Biogas_degree_centrality,Wind_degree_centrality,Offshore_Wind_degree_centrality,Solar_degree_centrality,Concentrated_Solar_degree_centrality,Waste_to_Heat_degree_centrality,Direct_Air_Capture_degree_centrality,Carbon_Capture_And_Storage_degree_centrality,Biochar_degree_centrality,Carbon_Direct_Removal_degree_centrality,BECCS_degree_centrality,Hydrogen_degree_centrality,Nuclear_Energy_degree_centrality,Nuclear_Fusion_degree_centrality,Hydro_Energy_degree_centrality,Geothermal_degree_centrality,Battery_degree_centrality,Electric_Vehicles_degree_centrality,Sustainable_Aviation_Fuels_degree_centrality,E_Fuels_degree_centrality,Marine_Energy_degree_centrality,Heat_Pumps_degree_centrality,Railway_degree_centrality,Electric_Shipping_degree_centrality,Electric_Aviation_degree_centrality,Fuel_Cell_Aviation_degree_centrality
316,viejas-tribal-government,39.7837,-100.446,Viejas Tribal Government,,Governmental Organization,Other Sectors,67.0,"{'start': 11, 'end': 50}",US,1.0,Governmental organizations,,,,,,,,,,,,,,,,,,,8.37556011558273e-05,,,,,,,,,
320,pixforce,29.7337,-95.3802,Pix Force,2016.0,Service Provider,Software,103.0,"{'start': 51, 'end': 200}",US,1.0,Service sector,,,,,,0.0009184720946566,,,,,,,,,,,,,0.0008375560115582,,,,,0.002960769800148,,,,
341,hunter-douglas-us,40.757,-73.9811,"Hunter Douglas, Inc.",,Manufacturer,"Other Construction, Other Manufacturing",2539.0,{'start': 10001},US,1.0,Other industry,,,,,,8.104165541088119e-05,,,,,,,,,,,,,,,,,,,,,,
352,ta-associates,42.3492,-71.0751,TA Associates,1968.0,Venture Capital,Other Sectors,661.0,"{'start': 201, 'end': 500}",US,1.0,Venture Capital,,,,,,,,,,,,,,,,,,,,0.0001060070671378,,,,,,,,
358,landvest,42.3575,-71.0559,LandVest,1968.0,Service Provider,Other Sectors,205.0,"{'start': 51, 'end': 200}",US,1.0,Service sector,,,,,,,,,,,0.0010362694300518,,,,,,,,,,,,,,,,,
364,americorps,39.7837,-100.446,AmeriCorps,,Governmental Organization,Other Sectors,9143.0,"{'start': 501, 'end': 1000}",US,1.0,Governmental organizations,,,,,,,,,,,,,,,,,,,,7.06713780918728e-05,,,,,,,,
367,infogrid,38.9019,-77.0225,Infogrid,2018.0,"Manufacturer, Service Provider","Built Environment, Software",122.0,"{'start': 51, 'end': 200}",US,1.0,Other industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,ryders-health-management,41.2162,-73.1361,Ryders Health Management,,Service Provider,Other Sectors,97.0,"{'start': 501, 'end': 1000}",US,1.0,Service sector,,,,,,2.7013885136960397e-05,,,,,,,,,,,,,,,,,,,,,,
381,rfcx,37.7761,-122.42,Rainforest Connection (RFCx),2013.0,Non Governmental Organization,Other Sectors,18.0,"{'start': 11, 'end': 50}",US,1.0,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,terbine-networks,39.7837,-100.446,TERBINE,2016.0,Service Provider,"Electric Vehicles, Software",15.0,"{'start': 11, 'end': 50}",US,1.0,Green services,,,,,,,,,,,,,,,,,,,,7.06713780918728e-05,,,,,,,,
383,coalinga-huron-unified-school-district,36.2057,-120.302,Coalinga-Huron Unified School District,,"Governmental Organization (This is assuming that the school district is publicly funded and managed as most K-12 school districts in the United States are. If it is a private or charter school district, it could be classified as ""Other."" However, the given information suggests it is a typical public school district.)",Other Sectors,298.0,"{'start': 201, 'end': 500}",US,1.0,Governmental organizations,,,,,,,,,,,,,,,,,,,,7.06713780918728e-05,,,,,,,,
386,nationwide,39.7837,-100.446,Nationwide,,"Insurance and Financial Services (Other - as there isn't a specific category for insurance and financial services organizations, and they offer a wider array of services that go beyond just banking or venture capital)",Other Sectors,30732.0,{'start': 10001},US,1.0,Other Finance,,,,,,0.0001620833108217,,,,,,,,4.5869455529562866e-05,,,,,,,,,,,,,,
388,shindaiwa,39.7837,-100.446,Shindaiwa,,Manufacturer,Other Manufacturing,26.0,"{'start': 501, 'end': 1000}",US,1.0,Other industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,park-city-transit,40.6587,-111.504,Park City Transit,,Service Provider,"Railway, Other Transport",8.0,"{'start': 51, 'end': 200}",US,1.0,Service sector,,,,,,,,,,,,,,,,,,,,7.06713780918728e-05,,,,,,,,
402,%E7%B2%BE%E8%BF%9B%E7%94%B5%E5%8A%A8,42.4689,-83.3903,JING-JIN ELECTRIC,2008.0,Other,Electric Vehicles,253.0,"{'start': 1001, 'end': 5000}",US,1.0,Other,,,,,,,,,,,,,,,,,,,,3.53356890459364e-05,,,,,,,,
411,wefunder,32.331,-96.1127,Wefunder,2011.0,Other Financing Organization,Other Sectors,130.0,"{'start': 11, 'end': 50}",US,1.0,Other Finance,,,,,,,,,,,,,,,,,,,,3.53356890459364e-05,,,,,,,,
419,atw-partners-llc,40.7127,-74.006,ATW Partners LLC,2016.0,Venture Capital,Other Sectors,17.0,"{'start': 11, 'end': 50}",US,1.0,Venture Capital,,,,,,,,,,,,,,,,,,,,3.53356890459364e-05,,,,,,,,
441,zaninirenk,25.7719,-80.1869,Zanini Renk,1976.0,Manufacturer,Other Manufacturing,15.0,"{'start': 51, 'end': 200}",US,1.0,Other industry,,,0.000145836371591,,,,,,,,,,,4.5869455529562866e-05,,,,,,,,,,,,,,
448,navajo-nation,39.7837,-100.446,Navajo Nation,,Other,Other Sectors,1296.0,"{'start': 1001, 'end': 5000}",US,1.0,Other,,,,,,8.104165541088119e-05,,,,,,,,,,,,,,,,,,,,,,
453,37signals,39.7837,-100.446,37signals,1999.0,Service Provider,Software,168.0,"{'start': 51, 'end': 200}",US,1.0,Service sector,,,,,,,,,,,,0.0004506534474988,,,,,,,,,,,,,,,,
457,denmark-technical-college,33.3128,-81.1255,Denmark Technical College,1947.0,University, Other Sectors,164.0,"{'start': 51, 'end': 200}",US,1.0,Research organizations,,,,,,2.7013885136960397e-05,,,,,,,,,,,,,0.0002931446040453,0.0002473498233215,,,,,,,,
463,hopkinton-school-district,39.7837,-100.446,Hopkinton School District,,Other,Other Sectors,169.0,"{'start': 51, 'end': 200}",US,1.0,Other,,,,,,,,,,,,,,,,,,,,7.06713780918728e-05,,,,,,,,
466,sjeccd,39.7837,-100.446,San José - Evergreen Community College District,1921.0,University,Other Sectors,186.0,"{'start': 501, 'end': 1000}",US,1.0,Research organizations,,,,,,,,,,,,,,,,,,,,,,,,0.0001480384900074,,,,
469,cifaction,47.3116,-122.238,Climate Investment Funds,2008.0,Other Financing Organization,Other Sectors,66.0,"{'start': 51, 'end': 200}",US,1.0,Other Finance,,,,0.0014319546180536,,0.0014857636825328,0.0040201005025125,,,,,,,,,,,0.0005461496450027,0.001423845219649,,,,,0.0002960769800148,,,,
477,national-energy-systems,42.0608,-71.0287,National Energy Systems,,Service Provider,Energy General,2.0,"{'start': 2, 'end': 10}",US,1.0,Service sector,,,,,,2.7013885136960397e-05,,,,,,,,4.5869455529562866e-05,,,,,,,,,,,,,,
478,koura-an-orbia-business,42.3554,-71.0605,Koura,,"Manufacturer, Mining","Other Manufacturing, Other Sectors",659.0,"{'start': 1001, 'end': 5000}",US,1.0,Mining industry,,,,,,,,,,,,,,,,,,,0.0012144562167594,0.0008480565371024,,,,,,,,
480,diebold,40.8786,-81.401,Diebold Nixdorf,1859.0,"Manufacturer, Service Provider","Software, Other ICT",19369.0,{'start': 10001},US,1.0,Other industry,,,,,,,,,,,,,,,,,,,,0.0001060070671378,,,,,,,,
482,alightsolutions,41.8771,-87.64,Alight Solutions,,Service Provider,Other Sectors,12603.0,{'start': 10001},US,1.0,Service sector,,,,,,,,,,,,,,,,,,,0.0002512668034674,,,,,,,,,
